sample_id,class,board_id,selected_alpha,pixel_diff_ap,pixel_diff_auc,pixel_diff_positive_patches,pixel_diff_negative_patches,pixel_diff_pos_mean,pixel_diff_neg_mean,pixel_diff_lift,pixel_diff_top1_hit,pixel_diff_top5_hit,pixel_diff_top10_hit,dinov2_diff_ap,dinov2_diff_auc,dinov2_diff_positive_patches,dinov2_diff_negative_patches,dinov2_diff_pos_mean,dinov2_diff_neg_mean,dinov2_diff_lift,dinov2_diff_top1_hit,dinov2_diff_top5_hit,dinov2_diff_top10_hit,hybrid_pixel_dino_ap,hybrid_pixel_dino_auc,hybrid_pixel_dino_positive_patches,hybrid_pixel_dino_negative_patches,hybrid_pixel_dino_pos_mean,hybrid_pixel_dino_neg_mean,hybrid_pixel_dino_lift,hybrid_pixel_dino_top1_hit,hybrid_pixel_dino_top5_hit,hybrid_pixel_dino_top10_hit
05_missing_hole_01,Missing_hole,05,0.75,0.5567806855261691,0.7649890590809627,10,914,2.2386720180511475,0.39134299755096436,5.720485687255859,True,True,True,0.09962947660688348,0.8864332603938732,10,914,0.027873679995536804,0.004133635200560093,6.743125915527344,False,False,True,0.4219874096162153,0.8396061269146609,10,914,0.24377302825450897,0.019171571359038353,12.715333938598633,True,True,True
05_missing_hole_02,Missing_hole,05,0.75,0.7181901536249883,0.8541828945318585,7,917,2.9813990592956543,0.3912014961242676,7.621134281158447,True,True,True,0.1199118861480499,0.9211715220439322,7,917,0.03712492436170578,0.004186280071735382,8.868219375610352,False,True,True,0.5187991092596356,0.9674404112790155,7,917,0.3690386414527893,0.020783761516213417,17.75609588623047,True,True,True
05_missing_hole_03,Missing_hole,05,0.75,0.45821710056551057,0.6641525631591857,18,906,2.1116175651550293,0.3916066288948059,5.392190456390381,True,True,True,0.23971049556837243,0.9346946284032377,18,906,0.037244394421577454,0.004448952618986368,8.371480941772461,True,True,True,0.520819862095056,0.9422982585234241,18,906,0.25500524044036865,0.01964198239147663,12.982657432556152,True,True,True
05_missing_hole_04,Missing_hole,05,0.75,0.4239184839916309,0.7779460352422908,16,908,2.3463542461395264,0.3911799490451813,5.998145580291748,True,True,True,0.15787777548390414,0.9316492290748899,16,908,0.029645295813679695,0.004352849908173084,6.810535430908203,False,True,True,0.4272343223087454,0.9347466960352423,16,908,0.26946112513542175,0.01978427544236183,13.61995792388916,True,True,True
05_missing_hole_05,Missing_hole,05,0.75,0.46537763670847937,0.6988287956831003,18,906,2.0287182331085205,0.3914456069469452,5.182631015777588,True,True,True,0.08080730068854661,0.8070885454991416,18,906,0.016120545566082,0.004095294512808323,3.9363508224487305,False,True,True,0.3957801480998073,0.8100318861908266,18,906,0.20891247689723969,0.01978507824242115,10.559088706970215,True,True,True
05_missing_hole_06,Missing_hole,05,0.75,0.3236218402330987,0.6292865044247788,20,904,1.8157551288604736,0.39134088158607483,4.639830112457275,True,True,True,0.21473955226939345,0.9240044247787611,20,904,0.031111503019928932,0.0043197376653552055,7.202159881591797,True,True,True,0.4102637131744654,0.9312499999999999,20,904,0.1889461874961853,0.017727291211485863,10.658487319946289,True,True,True
05_missing_hole_07,Missing_hole,05,0.75,0.45484361230108433,0.7237403634361234,16,908,2.3653969764709473,0.3914352357387543,6.042881965637207,True,True,True,0.20481854732431623,0.9498210352422907,16,908,0.036021459847688675,0.004490805324167013,8.021142959594727,False,True,True,0.5210701904848499,0.9525055066079295,16,908,0.2796497941017151,0.019847135990858078,14.090177536010742,True,True,True
05_missing_hole_08,Missing_hole,05,0.75,0.5361320282131199,0.8009259259259258,18,906,1.9157986640930176,0.39111074805259705,4.898353576660156,True,True,True,0.1331173708058694,0.9192420897718911,18,906,0.021736884489655495,0.00433604558929801,5.013057231903076,False,False,True,0.49331394828328506,0.9402747117978906,18,906,0.24088722467422485,0.02249634824693203,10.707833290100098,True,True,True
05_missing_hole_09,Missing_hole,05,0.75,0.48385611114876037,0.7599644346333088,18,906,1.86660897731781,0.39124587178230286,4.770936012268066,True,True,True,0.07206189238897664,0.8346210448859456,18,906,0.01332410890609026,0.004182254429906607,3.1858625411987305,False,False,True,0.4210637835959352,0.850073583517292,18,906,0.22752687335014343,0.02232274040579796,10.192601203918457,True,True,True
05_missing_hole_10,Missing_hole,05,0.75,0.5202909908960379,0.7714925190090753,18,906,2.323857069015503,0.39136803150177,5.937779426574707,True,True,True,0.199881557554419,0.9391709590385087,18,906,0.03291919082403183,0.004312465433031321,7.633481979370117,False,True,True,0.5204423481949402,0.9584253127299485,18,906,0.23741891980171204,0.01798764057457447,13.198996543884277,True,True,True
